Identifier,Ct,Gene,Efficiancy 
366,22.87,RH2-1,1.101161
366,22.86,RH2-1,1.101161
367,23.96,RH2-1,1.101161
367,24.08,RH2-1,1.101161
368,22.67,RH2-1,1.101161
368,22.89,RH2-1,1.101161
369,24.98,RH2-1,1.101161
369,25.22,RH2-1,1.101161
370,25.04,RH2-1,1.101161
370,25.05,RH2-1,1.101161
371,25.65,RH2-1,1.101161
371,25.6,RH2-1,1.101161
472,26.71,RH2-1,1.101161
472,26.72,RH2-1,1.101161
474,25.81,RH2-1,1.101161
474,25.39,RH2-1,1.101161
475,27.8,RH2-1,1.101161
475,27.82,RH2-1,1.101161
476,23.31,RH2-1,1.101161
476,23.06,RH2-1,1.101161
477,22.85,RH2-1,1.101161
477,22.88,RH2-1,1.101161
478,22.52,RH2-1,1.101161
478,22.68,RH2-1,1.101161
479,24.69,RH2-1,1.101161
479,24.73,RH2-1,1.101161
502,31.76,RH2-1,1.101161
502,32.55,RH2-1,1.101161
503,28.11,RH2-1,1.101161
503,28.38,RH2-1,1.101161
505,27.82,RH2-1,1.101161
505,27.62,RH2-1,1.101161
506,24.08,RH2-1,1.101161
506,24.03,RH2-1,1.101161
507,23.19,RH2-1,1.101161
507,23.18,RH2-1,1.101161
508,23.97,RH2-1,1.101161
508,23.93,RH2-1,1.101161
509,25.94,RH2-1,1.101161
509,25.84,RH2-1,1.101161
523,28.16,RH2-1,1.101161
523,28.02,RH2-1,1.101161
523,31.6,RH2-1,1.101161
524,27.79,RH2-1,1.101161
524,28.32,RH2-1,1.101161
526,26.09,RH2-1,1.101161
526,25.96,RH2-1,1.101161
527,23.04,RH2-1,1.101161
527,23.03,RH2-1,1.101161
528,21.76,RH2-1,1.101161
528,21.97,RH2-1,1.101161
529,22.61,RH2-1,1.101161
529,22.34,RH2-1,1.101161
530,24.9,RH2-1,1.101161
530,24.86,RH2-1,1.101161
590,28.02,RH2-1,1.101161
590,28.3,RH2-1,1.101161
590,37.28,RH2-1,1.101161
591,27.4,RH2-1,1.101161
591,27.55,RH2-1,1.101161
592,22.12,RH2-1,1.101161
592,22.29,RH2-1,1.101161
593,22.38,RH2-1,1.101161
593,22.61,RH2-1,1.101161
594,22.97,RH2-1,1.101161
594,23.15,RH2-1,1.101161
595,24.81,RH2-1,1.101161
595,24.98,RH2-1,1.101161
596,25.55,RH2-1,1.101161
596,25.33,RH2-1,1.101161
200,30.75,RH2-2,0.8633948
200,30.12,RH2-2,0.8633948
201,29.55,RH2-2,0.8633948
201,29.85,RH2-2,0.8633948
202,31.55,RH2-2,0.8633948
202,31.37,RH2-2,0.8633948
203,37.94,RH2-2,0.8633948
203,36.26,RH2-2,0.8633948
203,36.05,RH2-2,0.8633948
204,27.78,RH2-2,0.8633948
204,27.59,RH2-2,0.8633948
205,27.79,RH2-2,0.8633948
205,27.8,RH2-2,0.8633948
206,27.86,RH2-2,0.8633948
206,28.04,RH2-2,0.8633948
242,38.41,RH2-2,0.8633948
242,34.71,RH2-2,0.8633948
242,35.39,RH2-2,0.8633948
244,28.1,RH2-2,0.8633948
244,27.94,RH2-2,0.8633948
245,29.07,RH2-2,0.8633948
245,28.78,RH2-2,0.8633948
246,27.02,RH2-2,0.8633948
246,27.01,RH2-2,0.8633948
247,26.89,RH2-2,0.8633948
247,27.02,RH2-2,0.8633948
248,29.77,RH2-2,0.8633948
248,30.16,RH2-2,0.8633948
249,30.61,RH2-2,0.8633948
249,30.33,RH2-2,0.8633948
260,38.21,RH2-2,0.8633948
260,35.03,RH2-2,0.8633948
260,34.69,RH2-2,0.8633948
261,32.62,RH2-2,0.8633948
261,32.12,RH2-2,0.8633948
262,33.8,RH2-2,0.8633948
262,33.61,RH2-2,0.8633948
264,28.4,RH2-2,0.8633948
264,28.85,RH2-2,0.8633948
265,28.55,RH2-2,0.8633948
265,28.41,RH2-2,0.8633948
266,28.14,RH2-2,0.8633948
266,28.19,RH2-2,0.8633948
267,29.68,RH2-2,0.8633948
267,29.63,RH2-2,0.8633948
365,28.87,RH2-2,0.8633948
365,29.19,RH2-2,0.8633948
366,27.84,RH2-2,0.8633948
366,27.68,RH2-2,0.8633948
367,29.18,RH2-2,0.8633948
367,29.12,RH2-2,0.8633948
368,26.97,RH2-2,0.8633948
368,27.73,RH2-2,0.8633948
369,31.27,RH2-2,0.8633948
369,31.43,RH2-2,0.8633948
370,29.99,RH2-2,0.8633948
370,29.96,RH2-2,0.8633948
371,30.07,RH2-2,0.8633948
371,30.06,RH2-2,0.8633948
472,32.19,RH2-2,0.8633948
472,32.05,RH2-2,0.8633948
474,31.16,RH2-2,0.8633948
474,31.54,RH2-2,0.8633948
475,37.44,RH2-2,0.8633948
475,36.73,RH2-2,0.8633948
476,27.51,RH2-2,0.8633948
476,27.85,RH2-2,0.8633948
477,27.2,RH2-2,0.8633948
477,27.55,RH2-2,0.8633948
478,25.98,RH2-2,0.8633948
478,26.13,RH2-2,0.8633948
479,28.33,RH2-2,0.8633948
479,28.55,RH2-2,0.8633948
502,40,RH2-2,0.8633948
502,40,RH2-2,0.8633948
502,40,RH2-2,0.8633948
503,35.25,RH2-2,0.8633948
503,34.11,RH2-2,0.8633948
505,31.7,RH2-2,0.8633948
505,34.89,RH2-2,0.8633948
505,33.11,RH2-2,0.8633948
506,28.36,RH2-2,0.8633948
506,28.18,RH2-2,0.8633948
507,27.88,RH2-2,0.8633948
507,27.94,RH2-2,0.8633948
508,27.91,RH2-2,0.8633948
508,28.1,RH2-2,0.8633948
509,30.6,RH2-2,0.8633948
509,30.29,RH2-2,0.8633948
523,36.22,RH2-2,0.8633948
523,38.3,RH2-2,0.8633948
523,36.66,RH2-2,0.8633948
524,36.85,RH2-2,0.8633948
524,36.07,RH2-2,0.8633948
526,32.21,RH2-2,0.8633948
526,32.42,RH2-2,0.8633948
527,27.33,RH2-2,0.8633948
527,27.45,RH2-2,0.8633948
528,26.1,RH2-2,0.8633948
528,26.04,RH2-2,0.8633948
529,26.52,RH2-2,0.8633948
529,26.75,RH2-2,0.8633948
530,28.9,RH2-2,0.8633948
530,28.83,RH2-2,0.8633948
590,34.02,RH2-2,0.8633948
590,32.92,RH2-2,0.8633948
591,32.87,RH2-2,0.8633948
591,32.5,RH2-2,0.8633948
592,25.9,RH2-2,0.8633948
592,25.97,RH2-2,0.8633948
593,26.58,RH2-2,0.8633948
593,26.8,RH2-2,0.8633948
594,26.98,RH2-2,0.8633948
594,27.17,RH2-2,0.8633948
595,28.67,RH2-2,0.8633948
595,28.49,RH2-2,0.8633948
596,29.22,RH2-2,0.8633948
596,29.49,RH2-2,0.8633948
200,28.62,SWS1,1.042634
200,27.93,SWS1,1.042634
201,27.23,SWS1,1.042634
201,25.72,SWS1,1.042634
201,27.97,SWS1,1.042634
202,29.04,SWS1,1.042634
202,26.6,SWS1,1.042634
202,28.77,SWS1,1.042634
203,30.34,SWS1,1.042634
203,29.99,SWS1,1.042634
204,25.73,SWS1,1.042634
204,24.83,SWS1,1.042634
205,25.43,SWS1,1.042634
205,25.29,SWS1,1.042634
206,24.82,SWS1,1.042634
206,24.97,SWS1,1.042634
242,30.36,SWS1,1.042634
242,30.29,SWS1,1.042634
244,26.33,SWS1,1.042634
244,26.01,SWS1,1.042634
245,27.48,SWS1,1.042634
245,27.72,SWS1,1.042634
246,24.79,SWS1,1.042634
246,25.22,SWS1,1.042634
247,25.08,SWS1,1.042634
247,25.36,SWS1,1.042634
248,28.92,SWS1,1.042634
248,28.66,SWS1,1.042634
249,28.79,SWS1,1.042634
249,28.9,SWS1,1.042634
260,31.69,SWS1,1.042634
260,31.58,SWS1,1.042634
261,29.23,SWS1,1.042634
261,29.25,SWS1,1.042634
262,31.25,SWS1,1.042634
262,31.45,SWS1,1.042634
264,27.09,SWS1,1.042634
264,27.21,SWS1,1.042634
265,25.96,SWS1,1.042634
265,23.03,SWS1,1.042634
265,25.34,SWS1,1.042634
266,25.38,SWS1,1.042634
266,25.57,SWS1,1.042634
267,27.93,SWS1,1.042634
267,27.49,SWS1,1.042634
365,27.72,SWS1,1.042634
365,27.45,SWS1,1.042634
366,24.92,SWS1,1.042634
366,24.99,SWS1,1.042634
367,25.88,SWS1,1.042634
367,26.65,SWS1,1.042634
368,24.87,SWS1,1.042634
368,25.04,SWS1,1.042634
369,27.83,SWS1,1.042634
369,28.19,SWS1,1.042634
370,27.33,SWS1,1.042634
370,27.28,SWS1,1.042634
371,28.21,SWS1,1.042634
371,28.36,SWS1,1.042634
472,29.99,SWS1,1.042634
472,29.61,SWS1,1.042634
474,28.28,SWS1,1.042634
474,28.15,SWS1,1.042634
475,31.38,SWS1,1.042634
475,30.29,SWS1,1.042634
476,25.08,SWS1,1.042634
476,24.95,SWS1,1.042634
477,24.93,SWS1,1.042634
477,24.93,SWS1,1.042634
478,23.78,SWS1,1.042634
478,23.85,SWS1,1.042634
479,26.72,SWS1,1.042634
479,26.96,SWS1,1.042634
502,34.86,SWS1,1.042634
502,36.82,SWS1,1.042634
502,36.62,SWS1,1.042634
503,30,SWS1,1.042634
503,29.94,SWS1,1.042634
505,30.01,SWS1,1.042634
505,30.1,SWS1,1.042634
506,25.69,SWS1,1.042634
506,25.66,SWS1,1.042634
507,24.67,SWS1,1.042634
507,24.78,SWS1,1.042634
508,25.3,SWS1,1.042634
508,25.21,SWS1,1.042634
509,28.32,SWS1,1.042634
509,28.29,SWS1,1.042634
523,30.97,SWS1,1.042634
523,31.5,SWS1,1.042634
524,30.12,SWS1,1.042634
524,30.35,SWS1,1.042634
526,28.97,SWS1,1.042634
526,29.42,SWS1,1.042634
527,25.28,SWS1,1.042634
527,25.15,SWS1,1.042634
528,24.07,SWS1,1.042634
528,24.05,SWS1,1.042634
529,24.69,SWS1,1.042634
529,24.65,SWS1,1.042634
530,27.25,SWS1,1.042634
530,27.19,SWS1,1.042634
590,30.75,SWS1,1.042634
590,30.26,SWS1,1.042634
591,29.82,SWS1,1.042634
591,29.96,SWS1,1.042634
592,23.57,SWS1,1.042634
592,23.79,SWS1,1.042634
593,24.32,SWS1,1.042634
593,24.55,SWS1,1.042634
594,24.71,SWS1,1.042634
594,24.9,SWS1,1.042634
595,26.44,SWS1,1.042634
595,26.14,SWS1,1.042634
596,27.11,SWS1,1.042634
596,27.03,SWS1,1.042634
200,38.14,SWS2A,0.8699094
200,33.83,SWS2A,0.8699094
200,35.23,SWS2A,0.8699094
201,35.7,SWS2A,0.8699094
201,34.33,SWS2A,0.8699094
202,34.21,SWS2A,0.8699094
