Identifier,Ct,Gene,Efficiancy ,Ben_abs,Ben_rel
367,27.66,LWS3,0.9616775,0.7856,0.9142
367,27.81,LWS3,0.9616775,0.7856,0.9142
368,30.32,LWS3,0.9616775,0.7856,0.9142
368,29.91,LWS3,0.9616775,0.7856,0.9142
369,32.61,LWS3,0.9616775,0.7856,0.9142
369,32.75,LWS3,0.9616775,0.7856,0.9142
370,31.36,LWS3,0.9616775,0.7856,0.9142
370,31.81,LWS3,0.9616775,0.7856,0.9142
371,33.84,LWS3,0.9616775,0.7856,0.9142
371,33.95,LWS3,0.9616775,0.7856,0.9142
472,30.48,LWS3,0.9616775,0.7856,0.9142
472,30.83,LWS3,0.9616775,0.7856,0.9142
474,30.83,LWS3,0.9616775,0.7856,0.9142
474,30.72,LWS3,0.9616775,0.7856,0.9142
475,33.53,LWS3,0.9616775,0.7856,0.9142
475,32.35,LWS3,0.9616775,0.7856,0.9142
476,27.26,LWS3,0.9616775,0.7856,0.9142
476,27.11,LWS3,0.9616775,0.7856,0.9142
477,26.75,LWS3,0.9616775,0.7856,0.9142
477,26.69,LWS3,0.9616775,0.7856,0.9142
478,25.54,LWS3,0.9616775,0.7856,0.9142
478,25.68,LWS3,0.9616775,0.7856,0.9142
479,28.81,LWS3,0.9616775,0.7856,0.9142
479,28.84,LWS3,0.9616775,0.7856,0.9142
502,40,LWS3,0.9616775,0.7856,0.9142
502,40,LWS3,0.9616775,0.7856,0.9142
503,34.86,LWS3,0.9616775,0.7856,0.9142
503,34.07,LWS3,0.9616775,0.7856,0.9142
505,34.97,LWS3,0.9616775,0.7856,0.9142
505,37.45,LWS3,0.9616775,0.7856,0.9142
505,40,LWS3,0.9616775,0.7856,0.9142
506,30.41,LWS3,0.9616775,0.7856,0.9142
506,30.59,LWS3,0.9616775,0.7856,0.9142
507,30.3,LWS3,0.9616775,0.7856,0.9142
507,30.3,LWS3,0.9616775,0.7856,0.9142
508,40,LWS3,0.9616775,0.7856,0.9142
508,40,LWS3,0.9616775,0.7856,0.9142
509,40,LWS3,0.9616775,0.7856,0.9142
