PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	Sample.ID	Identifier	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
0.12574201970154514	-0.1667003016661415	-0.17810317344926951	0.18062217752618775	0.24845009168187163	0.10421005930986671	-0.04176701608194195	-0.017168625342223225	0.16340650197714976	MX14-267	267	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
0.1411245207595877	0.07281739986609678	0.12311433754346421	0.04906655731985627	0.09829465077556757	-0.11439195730370103	0.04288702301004046	-0.19636280281687046	0.11342497818408989	MX14-365	365	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
0.1286589000933553	0.17557112041710496	0.009117895738057777	-0.008998234165914802	-0.11199735919301884	0.035875030375266785	8.399134462706562e-4	-0.0010523276633150776	0.03856056907910603	MX14-366	366	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
0.13231472569587577	0.15132915856444878	0.029224205230369196	0.21558006763107312	-0.1487477312296466	-0.04465319177543726	-0.01675519947267173	0.052234073475246334	-0.0030189578724512255	MX14-367	367	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
0.13325246778516778	0.15083020347564158	0.030065818839301515	0.0017222620159027522	-0.03343647885087582	-0.023344736723762635	0.06664168259594588	-0.1548805783865512	0.09605577197219395	MX14-368	368	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
0.1334772224561448	0.14065169922849216	0.10909967050782723	0.054379369826848996	-0.1671819952178475	-0.08782055581320307	0.01092205317068076	-0.04637763584740862	0.1365603683823408	MX14-369	369	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
0.13966619053622953	0.10306044688128962	0.057070850348876344	0.010368264421386447	-0.08135559038214477	-0.09125906565011233	-0.11169336116153235	0.12109963522276763	0.07192354086103563	MX14-370	370	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
0.14316634773993567	0.04352855942483118	0.11659572414964246	-0.018979697230368128	0.04560725265710773	0.08578581222715344	-0.00142223108992919	0.06606836102309913	-0.026833461173549122	MX14-371	371	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
0.13552235503995552	-0.11651870154649749	0.15803866372923617	0.03307251381936275	-0.04254556694362687	0.011986979359660399	8.563061962021828e-4	0.020186719248952805	0.1048562154250692	MX14-472	472	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
0.1440092557740789	-0.002123680463516234	0.12042901202633798	0.035108211080000215	-0.12115935026147072	-0.05251190117519578	0.041355307347848036	0.12030931694254889	-0.1303033773604516	MX14-474	474	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
0.13701517504468835	-0.10428439402728854	0.1569961513355079	-0.004543411675709107	-0.14564356257875472	0.001236428519670439	0.090942654541879	0.2012597894294664	-0.09027662400539031	MX14-475	475	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
