Fieldsite.ID	Drainage	lambda	H2S	median_sensitivity
MT14-11	Pichucalco	513	0	0.07684930627081181
MT14-11	Pichucalco	514	0	0.07546501920648682
MT14-11	Pichucalco	515	0	0.07406766459025234
MT14-11	Pichucalco	516	0	0.07265925764864839
MT14-11	Pichucalco	517	0	0.07124175609781935
MT14-11	Pichucalco	518	0	0.06981705553047993
MT14-11	Pichucalco	519	0	0.06838698584060125
MT14-11	Pichucalco	520	0	0.06695330866467117
MT14-11	Pichucalco	521	0	0.06551771579946122
MT14-11	Pichucalco	522	0	0.0642426677624754
MT14-11	Pichucalco	523	0	0.06302485830419224
MT14-11	Pichucalco	524	0	0.06180374773177636
MT14-11	Pichucalco	525	0	0.06058046689406709
MT14-11	Pichucalco	526	0	0.059356101526355454
MT14-11	Pichucalco	527	0	0.05813169502708535
MT14-11	Pichucalco	528	0	0.05690825147745723
MT14-11	Pichucalco	529	0	0.05568673879654291
MT14-11	Pichucalco	530	0	0.054468091925626454
MT14-11	Pichucalco	531	0	0.053253215938989004
MT14-11	Pichucalco	532	0	0.05204298898420788
MT14-11	Pichucalco	533	0	0.05083826496314904
MT14-11	Pichucalco	534	0	0.04963987587504554
MT14-11	Pichucalco	535	0	0.04844863375518411
MT14-11	Pichucalco	536	0	0.047265332156500806
MT14-11	Pichucalco	537	0	0.04609074713652208
MT14-11	Pichucalco	538	0	0.04492563772819028
MT14-11	Pichucalco	539	0	0.043770745889781824
MT14-11	Pichucalco	540	0	0.042626795945883755
MT14-11	Pichucalco	541	0	0.04149449354774333
MT14-11	Pichucalco	542	0	0.04037452419673266
MT14-11	Pichucalco	543	0	0.03926755138865043
MT14-11	Pichucalco	544	0	0.03817421444863407
MT14-11	Pichucalco	545	0	0.037095126136130745
MT14-11	Pichucalco	546	0	0.03603087010630272
MT14-11	Pichucalco	547	0	0.03498199831816469
MT14-11	Pichucalco	548	0	0.033949028480501305
MT14-11	Pichucalco	549	0	0.03293244162418878
MT14-11	Pichucalco	550	0	0.03193267988405084
MT14-11	Pichucalco	551	0	0.030950144565088784
MT14-11	Pichucalco	552	0	0.02998519455721394
MT14-11	Pichucalco	553	0	0.029038145149972824
MT14-11	Pichucalco	554	0	0.02810926728477042
MT14-11	Pichucalco	555	0	0.0271987872673776
MT14-11	Pichucalco	556	0	0.026306886948697098
MT14-11	Pichucalco	557	0	0.025433704367464293
