Fieldsite.ID	Drainage	lambda	H2S	median_sensitivity
MT14-11	Pichucalco	412	0	0.5165655681931051
MT14-11	Pichucalco	413	0	0.5149633733912756
MT14-11	Pichucalco	414	0	0.5130842804546577
MT14-11	Pichucalco	415	0	0.5109184944903395
MT14-11	Pichucalco	416	0	0.5084581239399423
MT14-11	Pichucalco	417	0	0.5056971707877155
MT14-11	Pichucalco	418	0	0.5026315193552844
MT14-11	Pichucalco	419	0	0.4992589231289866
MT14-11	Pichucalco	420	0	0.49557898874134315
MT14-11	Pichucalco	421	0	0.491593156039744
MT14-11	Pichucalco	422	0	0.48730467310695785
MT14-11	Pichucalco	423	0	0.48271856513309525
MT14-11	Pichucalco	424	0	0.47784159616029004
MT14-11	Pichucalco	425	0	0.47268222291248224
MT14-11	Pichucalco	426	0	0.46725054016586554
MT14-11	Pichucalco	427	0	0.46155821739319175
MT14-11	Pichucalco	428	0	0.4556184267095304
MT14-11	Pichucalco	429	0	0.44944576244076184
MT14-11	Pichucalco	430	0	0.4430561529121283
MT14-11	Pichucalco	431	0	0.4364667652967027
MT14-11	Pichucalco	432	0	0.4296959045584291
MT14-11	Pichucalco	433	0	0.4227629076594249
MT14-11	Pichucalco	434	0	0.41591562399896725
MT14-11	Pichucalco	435	0	0.4093181378270442
MT14-11	Pichucalco	436	0	0.4026216857496511
MT14-11	Pichucalco	437	0	0.395847211854901
MT14-11	Pichucalco	438	0	0.38901612133958147
MT14-11	Pichucalco	439	0	0.38215017406799734
MT14-11	Pichucalco	440	0	0.3752713793732396
MT14-11	Pichucalco	441	0	0.3684018919235042
MT14-11	Pichucalco	442	0	0.3615639081640445
MT14-11	Pichucalco	443	0	0.3547795625655874
MT14-11	Pichucalco	444	0	0.34807082268926104
MT14-11	Pichucalco	445	0	0.3414593819424186
MT14-11	Pichucalco	446	0	0.33496654887285726
MT14-11	Pichucalco	447	0	0.3286131319496669
MT14-11	Pichucalco	448	0	0.3224193190194119
MT14-11	Pichucalco	449	0	0.31640455100903947
MT14-11	Pichucalco	450	0	0.3120428805341864
MT14-11	Pichucalco	451	0	0.30945937429809356
MT14-11	Pichucalco	452	0	0.30017824090563855
MT14-11	Pichucalco	453	0	0.2950506745740416
MT14-11	Pichucalco	454	0	0.28962754798450213
MT14-11	Pichucalco	455	0	0.2850363771094677
MT14-11	Pichucalco	456	0	0.2807279564571181
MT14-11	Pichucalco	457	0	0.2767108546824466
MT14-11	Pichucalco	458	0	0.2729917333821535
MT14-11	Pichucalco	459	0	0.26957527415728483
MT14-11	Pichucalco	460	0	0.2664641312743842
MT14-11	Pichucalco	461	0	0.2636589128248927
MT14-11	Pichucalco	462	0	0.2611581923077685
MT14-11	Pichucalco	463	0	0.2589015733841822
MT14-11	Pichucalco	464	0	0.2567227765668998
MT14-11	Pichucalco	465	0	0.25487008018599283
MT14-11	Pichucalco	466	0	0.25333411795358085
MT14-11	Pichucalco	467	0	0.25210384479596565
MT14-11	Pichucalco	468	0	0.25116672192550715
MT14-11	Pichucalco	469	0	0.25050891629868566
MT14-11	Pichucalco	470	0	0.25011550882269556
MT14-11	Pichucalco	471	0	0.24997070572470956
MT14-11	Pichucalco	472	0	0.25005804780931173
MT14-11	Pichucalco	473	0	0.25036061285605143
MT14-11	Pichucalco	474	0	0.2508612070957252
MT14-11	Pichucalco	475	0	0.2515425424919596
MT14-11	Pichucalco	476	0	0.2523873973863478
MT14-11	Pichucalco	477	0	0.25337875888910505
MT14-11	Pichucalco	478	0	0.2544999461702064
MT14-11	Pichucalco	479	0	0.2557347144962045
MT14-11	Pichucalco	480	0	0.2570673404443616
MT14-11	Pichucalco	481	0	0.2584826891977695
MT14-11	Pichucalco	482	0	0.25972364833113454
MT14-11	Pichucalco	483	0	0.2609953263026648
MT14-11	Pichucalco	484	0	0.2622915215493774
MT14-11	Pichucalco	485	0	0.2636008982508156
MT14-11	Pichucalco	486	0	0.2649128018364095
MT14-11	Pichucalco	487	0	0.26621725288048753
