Gene	Identifier	Efficiency	meanCT	CT_stdev	expression	total_cone	percent_cone	Sample.ID	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
LWS1	596	0.8267	40	0	3.414372100331709e-11	1.025951185052418e-6	3.3280063906327685e-5	MX14-596	MT14-29	La Gloria springs	Pichucalco	1	Poecilia sulphuraria	0
LWS2	200	0.7751	35.644999999999996	0.8273149339882567	1.3075323378755713e-9	4.649054898012237e-7	0.002812469128799971	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS2	201	0.7751	38.07	2.060509645694483	3.2515249470668197e-10	8.009655839596152e-7	4.0595064409543495e-4	MX14-201	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS2	202	0.7751	39.48	0.9006664199358175	1.4477144479580324e-10	3.6224405767760676e-7	3.99651676065997e-4	MX14-202	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS2	203	0.7751	38.45666666666666	2.673131746347969	2.604479430481843e-10	3.440075307108512e-7	7.57099539390894e-4	MX14-203	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS2	204	0.7751	34.513333333333335	1.1566042250196615	2.503165711146417e-9	1.7456360196346267e-6	0.0014339562675100771	MX14-204	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS2	205	0.7751	36.36333333333333	1.370851317004633	8.65819527831033e-10	1.7078019717432863e-6	5.069788782051959e-4	MX14-205	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS2	206	0.7751	38.513333333333335	1.4377876523789355	2.521147791867484e-10	2.082998493462278e-6	1.2103454706186232e-4	MX14-206	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
LWS2	242	0.7751	40	0	1.0742046799842e-10	5.810645288182925e-7	1.8486839700382395e-4	MX14-242	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS2	244	0.7751	40	0	1.0742046799842e-10	1.5412766303366608e-6	6.969577419399148e-5	MX14-244	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS2	245	0.7751	39.24	1.3163586137523473	1.6614848530096973e-10	8.614116276626371e-7	1.9287931572481635e-4	MX14-245	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS2	246	0.7751	39.333333333333336	1.1547005383792517	1.5748369263757336e-10	3.1760411678127875e-6	4.9584902813468907e-5	MX14-246	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS2	247	0.7751	40	0	1.0742046799842e-10	2.6938924675789776e-6	3.9875558988054046e-5	MX14-247	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS2	248	0.7751	37.81333333333333	2.5051413799091935	3.76750885676175e-10	5.638609928871846e-7	6.681627039796917e-4	MX14-248	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS2	249	0.7751	40	0	1.0742046799842e-10	4.4591202968906586e-7	2.409005831785346e-4	MX14-249	MT14-13	La Esperanza	Ixtapangajoya	1	Poecilia thermalis	0
LWS2	260	0.7751	39.46	0.9353074360871922	1.4644257780465007e-10	2.272466013415405e-7	6.444214212231674e-4	MX14-260	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS2	261	0.7751	37.16	1.2162236636408659	5.481253149878738e-10	2.6471066751524557e-7	0.0020706582025309026	MX14-261	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS2	262	0.7751	39.34	1.1431535329954572	1.5688235643042738e-10	1.8283388411890208e-7	8.580595286615599e-4	MX14-262	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS2	264	0.7751	40	0	1.0742046799842e-10	1.2264440453251612e-06	8.758692938978731e-5	MX14-264	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS2	265	0.7751	36.30500000000001	0.30405591591021525	8.952933832298014e-10	1.7403155689772459e-6	5.14443126976075e-4	MX14-265	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS2	266	0.7751	40	0	1.0742046799842e-10	1.4580509689601191e-6	7.367401434192126e-5	MX14-266	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS2	267	0.7751	38.04333333333333	2.1146236859860763	3.301665201424125e-10	5.536581234302887e-7	5.963364505460632e-4	MX14-267	MT14-17	Rio Ixtapangajoya	Ixtapangajoya	0	Poecilia mexicana	0
LWS2	365	0.7751	38.65	1.1769027147559807	2.330976271215909e-10	1.3222092627293372e-6	1.7629405094351326e-4	MX14-365	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
LWS2	366	0.7751	37.763333333333335	2.452964193243214	3.877175173128909e-10	3.3439571055519646e-6	1.159457209152487e-4	MX14-366	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
LWS2	367	0.7751	40	0	1.0742046799842e-10	1.8452112515423063e-6	5.821581019985294e-5	MX14-367	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
LWS2	368	0.7751	40	0	1.0742046799842e-10	3.6740065154713335e-6	2.923796339121058e-5	MX14-368	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
LWS2	369	0.7751	40	0	1.0742046799842e-10	8.936462771988611e-7	1.2020468359710513e-4	MX14-369	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
LWS2	370	0.7751	37.005	0.02121320343559723	5.991139031172639e-10	1.0621716819711502e-6	5.640462020277589e-4	MX14-370	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
LWS2	371	0.7751	40	0	1.0742046799842e-10	8.295528073379397e-7	1.294920191315313e-4	MX14-371	MT14-21	El Azufre I	Tacotalpa	1	Poecilia mexicana	0
LWS2	472	0.7751	38.81333333333333	1.027878073184427	2.1224206279994085e-10	6.709720530064454e-7	3.1632027272811324e-4	MX14-472	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
LWS2	474	0.7751	39.413333333333334	1.0161364737737402	1.5041729125326373e-10	9.190227736635901e-7	1.6367090736352553e-4	MX14-474	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
LWS2	475	0.7751	40	0	1.0742046799842e-10	3.326634480567007e-7	3.229103426478967e-4	MX14-475	MT14-26	Arroyo Bonita	Tacotalpa	0	Poecilia mexicana	0
