Identifier	lambda	lambda_sensitivity	Sample.ID	Fieldsite.ID	Locality	Drainage	H2S	Species	Sex
200	412	0.7337346273326912	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	413	0.7311399914596848	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	414	0.7279908899815184	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	415	0.7242766254028764	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	416	0.7199888451190826	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	417	0.7151215967981589	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	418	0.709671378124111	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	419	0.7036371793064962	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	420	0.697020516574258	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	421	0.6898254548192708	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	422	0.6820586176256538	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	423	0.6737291831013157	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	424	0.6648488642028331	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	425	0.6554318725961954	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	426	0.6454948655046259	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	427	0.6350568754393596	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	428	0.6241392231673664	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	429	0.6127654147180729	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	430	0.6009610236458351	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	431	0.5887535601236866	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	432	0.5761723287262421	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	433	0.5632482769480099	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	434	0.550013836584386	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	435	0.5365027600679315	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	436	0.5227499536999095	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	437	0.5087913094508077	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	438	0.4946635366352655	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	439	0.4804039943151285	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	440	0.4660505247752622	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	441	0.45164128788246255	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	442	0.4372145956161782	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	443	0.4228087455923702	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	444	0.4084618520320505	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	445	0.3942116723963753	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	446	0.3800954278590238	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	447	0.366149615944604	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	448	0.3524098140485491	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	449	0.3389104731734084	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	450	0.32568470205488576	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	451	0.31276404287412507	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	452	0.30017824090563855	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	453	0.2879550116585572	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	454	0.27611981024266125	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	455	0.2646956087308353	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	456	0.2537026880957004	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	457	0.24315845177899545	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	458	0.23307726803473144	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	459	0.22347034782691932	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
200	460	0.2143456642501273	MX14-200	MT14-11	Rio El Azufre, west branch	Pichucalco	0	Poecilia mexicana	0
