site.name	sample.location	light	n.measures	nls.converged	lambda	transmission_ss	transmission
Ban	1	s	2	NA	500	0	2.3730711439447215e-5
Ban	1	s	2	NA	501	0	3.667878392891666e-5
Ban	1	s	2	NA	502	0	6.29399461161355e-5
Ban	1	s	2	NA	503	0	9.231344738059963e-5
Ban	1	s	2	NA	504	0	4.193556596927689e-5
Ban	1	s	2	NA	505	0	5.9631719133240325e-6
Ban	1	s	2	NA	506	0	5.30251209049989e-5
Ban	1	s	2	NA	507	0	7.183321986319835e-5
Ban	1	s	2	NA	508	0	7.577461629172838e-5
Ban	1	s	2	NA	509	0	6.198721958223023e-5
Ban	1	s	2	NA	510	0	4.979817063413299e-5
Ban	1	s	2	NA	511	7.703719777548943e-34	6.355581596108845e-5
Ban	1	s	2	NA	512	0	6.027160702565556e-5
Ban	1	s	2	NA	513	0	3.933568455004693e-5
Ban	1	s	2	NA	514	0	5.389206810786392e-5
Ban	1	s	2	NA	515	0	7.229161186389073e-5
Ban	1	s	2	NA	516	7.703719777548943e-34	5.382660917608985e-5
Ban	1	s	2	NA	517	0	2.789547159329523e-5
Ban	1	s	2	NA	518	0	4.486426747719169e-5
Ban	1	s	2	NA	519	0	4.69782610258102e-5
Ban	1	s	2	NA	520	0	4.028956333058843e-5
Ban	1	s	2	NA	521	0	4.520182272728557e-5
Ban	1	s	2	NA	522	0	5.86234487216623e-5
Ban	1	s	2	NA	523	0	2.3947370681605595e-5
Ban	1	s	2	NA	524	0	5.4476821759121875e-5
Ban	1	s	2	NA	525	0	3.599018332050527e-5
Ban	1	s	2	NA	526	0	1.3177901881639985e-5
Ban	1	s	2	NA	527	0	1.74786614331613e-5
Ban	1	s	2	NA	528	0	1.9193849545663134e-5
Ban	1	s	2	NA	529	0	5.453127987212598e-6
Ban	1	s	2	NA	530	0	1.996383767128779e-5
Ban	1	s	2	NA	531	7.703719777548943e-34	3.085937684965852e-5
Ban	1	s	2	NA	532	0	4.044516240182758e-5
Ban	1	s	2	NA	533	0	4.651409153037934e-5
Ban	1	s	2	NA	534	7.703719777548943e-34	6.285200866069801e-5
Ban	1	s	2	NA	535	0	8.672532682307314e-5
Ban	1	s	2	NA	536	0	3.0233361217191636e-5
Ban	1	s	2	NA	537	0	2.678127568193962e-5
Ban	1	s	2	NA	538	0	3.427208536324014e-5
Ban	1	s	2	NA	539	0	6.116734025269166e-5
Ban	1	s	2	NA	540	0	6.492921987265181e-5
Ban	1	s	2	NA	541	0	6.819971417143018e-5
Ban	1	s	2	NA	542	0	3.258550898929347e-5
Ban	1	s	2	NA	543	0	2.5066544755308974e-5
Ban	1	s	2	NA	544	0	5.282657355604393e-5
Ban	1	s	2	NA	545	0	5.5537266544545435e-6
Ban	1	s	2	NA	546	0	1.4059548792024903e-5
Ban	1	s	2	NA	547	0	9.143532490735952e-6
Ban	1	s	2	NA	548	0	1.442979415636904e-5
Ban	1	s	2	NA	549	0	2.6729452895041603e-5
Ban	1	s	2	NA	550	0	3.733480667020247e-5
Ban	1	s	2	NA	551	0	5.585607640342519e-5
Ban	1	s	2	NA	552	0	6.831108627776598e-5
Ban	1	s	2	NA	553	0	1.0237734495778678e-4
Ban	1	s	2	NA	554	0	1.32087917823653e-4
Ban	1	s	2	NA	555	0	1.1270349114127017e-4
Ban	1	s	2	NA	556	0	9.887722307405662e-5
Ban	1	s	2	NA	557	0	7.282597392848745e-5
Ban	1	s	2	NA	558	0	6.742842925617202e-5
Ban	1	s	2	NA	559	0	4.29820954813643e-5
Ban	1	s	2	NA	560	0	4.1654335152547294e-5
Ban	1	s	2	NA	561	0	5.152345050417532e-5
Ban	1	s	2	NA	562	0	6.226144557275375e-5
Ban	1	s	2	NA	563	0	7.171966171612917e-5
Ban	1	s	2	NA	564	0	5.8763856037691165e-5
Ban	1	s	2	NA	565	0	2.842379566651309e-5
Ban	1	s	2	NA	566	0	6.783926779062817e-5
Ban	1	s	2	NA	567	0	6.080419327343679e-5
Ban	1	s	2	NA	568	0	4.607547646137384e-5
Ban	1	s	2	NA	569	0	4.8013349774349366e-5
Ban	1	s	2	NA	570	0	6.568746646465604e-5
Ban	1	s	2	NA	571	0	6.407862108411572e-5
Ban	1	s	2	NA	572	0	6.763839565498785e-5
Ban	1	s	2	NA	573	0	4.8994678113244666e-5
Ban	1	s	2	NA	574	0	3.1173321993857096e-5
Ban	1	s	2	NA	575	0	2.4663715361614757e-5
Ban	1	s	2	NA	576	0	6.418056587204936e-5
Ban	1	s	2	NA	577	3.0814879110195774e-33	6.477343680506087e-5
Ban	1	s	2	NA	578	0	5.620847500961824e-5
Ban	1	s	2	NA	579	0	3.8658403296830456e-5
Ban	1	s	2	NA	580	3.0814879110195774e-33	6.168241818592886e-5
Ban	1	s	2	NA	581	0	8.079741495415102e-5
Ban	1	s	2	NA	582	0	5.0912306366317064e-5
Ban	1	s	2	NA	583	3.0814879110195774e-33	4.390452674903082e-5
Ban	1	s	2	NA	584	0	2.2986329646404872e-5
Ban	1	s	2	NA	585	0	7.567965173449254e-5
