watershed,population,individual ,sex,,,,,
Tacotalpa,El_Azufre,PS0-34,Female,,,,,
Tacotalpa,El_Azufre,PS0-35,Female,,,,,
Tacotalpa,El_Azufre,PS0-36,Female,,,,,
Tacotalpa,El_Azufre,PS0-01,Male,,,,,
Tacotalpa,El_Azufre,PS0-02,Male,,,,,
Tacotalpa,El_Azufre,PS0-03,Male,,,,,
Tacotalpa,El_Azufre,PS0-04,Male,,,,,
Tacotalpa,El_Azufre,PS0-05,Male,,,,,
Tacotalpa,El_Azufre,PS0-06,Male,,,,,
Tacotalpa,El_Azufre,PS0-07,Male,,,,,
Tacotalpa,El_Azufre,PS0-10,Male,,,,,
Tacotalpa,El_Azufre,PS0-13,Male,,,,,
Tacotalpa,El_Azufre,PS0-17,Male,,,,,
Tacotalpa,El_Azufre,PS0-21,Male,,,,,
Tacotalpa,El_Azufre,PS0-23,Male,,,,,
Tacotalpa,El_Azufre,PS0-24,Male,,,,,
Tacotalpa,El_Azufre,PS0-26,Male,,,,,
Tacotalpa,El_Azufre,PS0-27,Male,,,,,
Tacotalpa,El_Azufre,PS0-28,Male,,,,,
Tacotalpa,El_Azufre,PS0-29,Male,,,,,
Tacotalpa,El_Azufre,PS0-30,Male,,,,,
Tacotalpa,El_Azufre,PS0-31,Male,,,,,
Tacotalpa,El_Azufre,PS0-37,Male,,,,,
Tacotalpa,El_Azufre,PS0-38,Male,,,,,
Tacotalpa,El_Azufre,PS0-39,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-27,NA,,,,,
Ixtapangajoya,Esperanaza,Esp-28,NA,,,,,
Ixtapangajoya,Esperanaza,Esp-29,NA,,,,,
Ixtapangajoya,Esperanaza,Esp-30,NA,,,,,
Ixtapangajoya,Esperanaza,Esp-01,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-02,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-03,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-04,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-05,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-06,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-07,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-08,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-12,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-13,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-14,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-15,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-16,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-17,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-18,Female,,,,,
Ixtapangajoya,Esperanaza,Esp-09,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-10,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-11,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-19,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-20,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-21,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-22,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-23,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-24,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-25,Male,,,,,
Ixtapangajoya,Esperanaza,Esp-26,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-06,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-07,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-08,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-10,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-12,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-16,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-18,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-19,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-22,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-23,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-24,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-29,Female,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-01,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-02,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-03,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-04,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-05,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-09,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-11,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-13,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-14,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-15,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-17,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-20,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-21,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-25,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-26,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-27,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-28,Male,,,,,
Ixtapangajoya,Ixtapangajoya,Ixt-30,Male,,,,,
Pichucalco,Vet Station,VS-01,Female,,,,,
Pichucalco,Vet Station,VS-04,Female,,,,,
Pichucalco,Vet Station,VS-05,Female,,,,,
Pichucalco,Vet Station,VS-06,Female,,,,,
Pichucalco,Vet Station,VS-09,Female,,,,,
Pichucalco,Vet Station,VS-11,Female,,,,,
Pichucalco,Vet Station,VS-12,Female,,,,,
Pichucalco,Vet Station,VS-13,Female,,,,,
Pichucalco,Vet Station,VS-14,Female,,,,,
Pichucalco,Vet Station,VS-15,Female,,,,,
Pichucalco,Vet Station,VS-18,Female,,,,,
Pichucalco,Vet Station,VS-19,Female,,,,,
Pichucalco,Vet Station,VS-21,Female,,,,,
Pichucalco,Vet Station,VS-23,Female,,,,,
Pichucalco,Vet Station,VS-25,Female,,,,,
Pichucalco,Vet Station,VS-02,Male,,,,,
Pichucalco,Vet Station,VS-03,Male,,,,,
Pichucalco,Vet Station,VS-07,Male,,,,,
Pichucalco,Vet Station,VS-08,Male,,,,,
Pichucalco,Vet Station,VS-10,Male,,,,,
Pichucalco,Vet Station,VS-16,Male,,,,,
Pichucalco,Vet Station,VS-20,Male,,,,,
Pichucalco,Vet Station,VS-22,Male,,,,,
Pichucalco,Vet Station,VS-24,Male,,,,,
